model,mode,runs,passed_runs,success_rate,mean_tokens,stdev_tokens,mean_latency_seconds,stdev_latency_seconds,median_latency_seconds,mean_iterations,success_iteration_distribution,efficiency_rank,token_overhead_vs_qwen,median_latency_overhead_vs_qwen
Qwen3.5-122B-A10B,one_shot,30,0,0.0,727.733,26.741,8.301,22.138,4.227,1.0,{},,,
Qwen3.5-122B-A10B,iterative,30,30,1.0,1421.667,39.325,12.507,22.193,8.216,2.0,{'2': 30},1,0.0,0.0
DeepSeek-V4-Pro,one_shot,30,0,0.0,1123.067,234.097,30.06,38.548,16.143,1.0,{},,,
DeepSeek-V4-Pro,iterative,30,30,1.0,2598.333,280.473,70.505,55.559,43.157,2.0,{'2': 30},3,0.8277,4.2528
Kimi-K2.7-Code,one_shot,30,1,0.0333,873.467,342.53,8.603,7.32,6.357,1.0,{'1': 1},,,
Kimi-K2.7-Code,iterative,30,30,1.0,1650.233,205.768,30.826,41.544,14.25,2.0,{'2': 30},2,0.1608,0.7344
